Validating: /home/yoursenpai/polimi/sem3/fucking_SE/RP/RESEARCH_PROJECT/Results/Scenario_011/SP3/RUN_20260228_060352/dsl/ITER2_20260228_060413.LIRAs
FAILURE: Validation errors found.

[ERROR] Line 11: missing RULE_NL at 'fetch'
[ERROR] Line 13: extraneous input 'checkItems' expecting RULE_NL
[ERROR] Line 15: extraneous input 'checkItems' expecting RULE_NL
[ERROR] Line 17: extraneous input 'checkItems' expecting RULE_NL
[ERROR] Line 18: no viable alternative at input 'presence'
[ERROR] Line 18: mismatched input '(' expecting ':'
[ERROR] Line 18: mismatched input ')' expecting ':'
[ERROR] Line 19: mismatched input '(' expecting ':'
[ERROR] Line 19: mismatched input ')' expecting ':'
[ERROR] Line 23: required (...)+ loop did not match anything at input 'colaborativeGrasping'
[ERROR] Line 23: mismatched input '(' expecting ':'
[ERROR] Line 23: mismatched input ')' expecting ':'
[ERROR] Line 25: mismatched input 'samples' expecting ':'
[ERROR] Line 25: mismatched input 'should' expecting ':'
[ERROR] Line 25: mismatched input 'be' expecting ':'
[ERROR] Line 25: mismatched input 'transported' expecting ':'
[ERROR] Line 25: mismatched input 'from' expecting ':'
[ERROR] Line 25: mismatched input 'patient' expecting ':'
[ERROR] Line 25: mismatched input 'floors' expecting ':'
[ERROR] Line 25: mismatched input 'to' expecting ':'
[ERROR] Line 25: mismatched input 'the' expecting ':'
[ERROR] Line 25: mismatched input 'laboratory' expecting ':'
[ERROR] Line 25: mismatched input '.' expecting ':'
[ERROR] Line 25: mismatched input 'nurse' expecting ':'
[ERROR] Line 25: mismatched input 'responsible' expecting ':'
[ERROR] Line 25: mismatched input 'for' expecting ':'
[ERROR] Line 25: mismatched input 'collecting' expecting ':'
[ERROR] Line 25: mismatched input 'a' expecting ':'
[ERROR] Line 25: mismatched input 'sample' expecting ':'
[ERROR] Line 25: mismatched input 'can' expecting ':'
[ERROR] Line 25: mismatched input 'request' expecting ':'
[ERROR] Line 25: mismatched input 'a' expecting ':'
[ERROR] Line 25: mismatched input 'delivery' expecting ':'
[ERROR] Line 25: mismatched input 'to' expecting ':'
[ERROR] Line 25: mismatched input 'the' expecting ':'
[ERROR] Line 25: mismatched input 'laboratory' expecting ':'
[ERROR] Line 25: mismatched input '.' expecting ':'
[ERROR] Line 25: mismatched input 'sample' expecting ':'
[ERROR] Line 25: mismatched input 'before' expecting ':'
[ERROR] Line 25: mismatched input 'collection' expecting ':'
[ERROR] Line 25: mismatched input 'is' expecting ':'
[ERROR] Line 25: mismatched input 'identified' expecting ':'
[ERROR] Line 25: mismatched input 'with' expecting ':'
[ERROR] Line 25: mismatched input 'a' expecting ':'
[ERROR] Line 25: mismatched input 'barcode' expecting ':'
[ERROR] Line 25: mismatched input '.' expecting ':'
[ERROR] Line 25: mismatched input 'nurse' expecting ':'
[ERROR] Line 25: mismatched input 'inserts' expecting ':'
[ERROR] Line 25: mismatched input 'data' expecting ':'
[ERROR] Line 25: mismatched input 'about' expecting ':'
[ERROR] Line 25: mismatched input 'the' expecting ':'
[ERROR] Line 25: mismatched input 'sample' expecting ':'
[ERROR] Line 25: mismatched input 'in' expecting ':'
[ERROR] Line 25: mismatched input 'a' expecting ':'
[ERROR] Line 25: mismatched input 'track' expecting ':'
[ERROR] Line 25: mismatched input 'system' expecting ':'
[ERROR] Line 25: mismatched input '.' expecting ':'
[ERROR] Line 25: mismatched input 'are' expecting ':'
[ERROR] Line 25: mismatched input 'transported' expecting ':'
[ERROR] Line 25: mismatched input 'in' expecting ':'
[ERROR] Line 25: mismatched input 'secure' expecting ':'
[ERROR] Line 25: mismatched input 'locked' expecting ':'
[ERROR] Line 25: mismatched input 'drawers' expecting ':'
[ERROR] Line 25: mismatched input '.' expecting ':'
[ERROR] Line 25: mismatched input 'the' expecting ':'
[ERROR] Line 25: mismatched input 'laboratory' expecting ':'
[ERROR] Line 25: mismatched input ',' expecting ':'
[ERROR] Line 25: mismatched input 'sample' expecting ':'
[ERROR] Line 25: mismatched input 'can' expecting ':'
[ERROR] Line 25: mismatched input 'be' expecting ':'
[ERROR] Line 25: mismatched input 'picked' expecting ':'
[ERROR] Line 25: mismatched input 'by' expecting ':'
[ERROR] Line 25: mismatched input 'a' expecting ':'
[ERROR] Line 25: mismatched input 'robotic' expecting ':'
[ERROR] Line 25: mismatched input 'arm' expecting ':'
[ERROR] Line 25: mismatched input 'or' expecting ':'
[ERROR] Line 25: mismatched input 'laboratory' expecting ':'
[ERROR] Line 25: mismatched input 'personnel' expecting ':'
[ERROR] Line 25: mismatched input '.' expecting ':'
[ERROR] Line 25: mismatched input 'authorized' expecting ':'
[ERROR] Line 25: mismatched input 'personnel' expecting ':'
[ERROR] Line 25: mismatched input 'or' expecting ':'
[ERROR] Line 25: mismatched input 'specific' expecting ':'
[ERROR] Line 25: mismatched input 'robots' expecting ':'
[ERROR] Line 25: mismatched input 'in' expecting ':'
[ERROR] Line 25: mismatched input 'specific' expecting ':'
[ERROR] Line 25: mismatched input 'locations' expecting ':'
[ERROR] Line 25: mismatched input 'should' expecting ':'
[ERROR] Line 25: mismatched input 'be' expecting ':'
[ERROR] Line 25: mismatched input 'able' expecting ':'
[ERROR] Line 25: mismatched input 'to' expecting ':'
[ERROR] Line 25: mismatched input 'open' expecting ':'
[ERROR] Line 25: mismatched input 'the' expecting ':'
[ERROR] Line 25: mismatched input 'locked' expecting ':'
[ERROR] Line 25: mismatched input 'drawers' expecting ':'
[ERROR] Line 25: mismatched input '.' expecting ':'
[ERROR] Line 25: mismatched input 'robotic' expecting ':'
[ERROR] Line 25: mismatched input 'arm' expecting ':'
[ERROR] Line 25: mismatched input 'picks' expecting ':'
[ERROR] Line 25: mismatched input 'up' expecting ':'
[ERROR] Line 25: mismatched input 'samples' expecting ':'
[ERROR] Line 25: mismatched input ',' expecting ':'
[ERROR] Line 25: mismatched input 'the' expecting ':'
[ERROR] Line 25: mismatched input 'barcode' expecting ':'
[ERROR] Line 25: mismatched input 'in' expecting ':'
[ERROR] Line 25: mismatched input 'each' expecting ':'
[ERROR] Line 25: mismatched input 'sample' expecting ':'
[ERROR] Line 25: mismatched input ',' expecting ':'
[ERROR] Line 25: mismatched input ',' expecting ':'
[ERROR] Line 25: mismatched input 'loads' expecting ':'
[ERROR] Line 25: mismatched input 'the' expecting ':'
[ERROR] Line 25: mismatched input 'samples' expecting ':'
[ERROR] Line 25: mismatched input 'into' expecting ':'
[ERROR] Line 25: mismatched input 'the' expecting ':'
