Validating: /Users/dimitricopley/Desktop/Challenge/RESEARCH_PROJECT/Results/Scenario_029/SP4/RUN_20260227_230843/dsl/ITER8_20260227_231142.LIRAs
FAILURE: Validation errors found.

[ERROR] Line 35: rule ruleActionC failed predicate: {getUnorderedGroupHelper().canLeave(grammarAccess.getActionCAccess().getUnorderedGroup_0_2())}?
[ERROR] Line 35: rule ruleActionC failed predicate: {getUnorderedGroupHelper().canLeave(grammarAccess.getActionCAccess().getUnorderedGroup_0_2())}?
[ERROR] Line 35: rule ruleActionC failed predicate: {getUnorderedGroupHelper().canLeave(grammarAccess.getActionCAccess().getUnorderedGroup_0_2())}?
[ERROR] Line 35: rule ruleActionC failed predicate: {getUnorderedGroupHelper().canLeave(grammarAccess.getActionCAccess().getUnorderedGroup_0_2())}?
[ERROR] Line 35: rule ruleActionC failed predicate: {getUnorderedGroupHelper().canLeave(grammarAccess.getActionCAccess().getUnorderedGroup_0_2())}?
[ERROR] Line 35: rule ruleActionC failed predicate: {getUnorderedGroupHelper().canLeave(grammarAccess.getActionCAccess().getUnorderedGroup_0_2())}?
[ERROR] Line 35: rule ruleActionC failed predicate: {getUnorderedGroupHelper().canLeave(grammarAccess.getActionCAccess().getUnorderedGroup_0_2())}?
[ERROR] Line 35: rule ruleActionC failed predicate: {getUnorderedGroupHelper().canLeave(grammarAccess.getActionCAccess().getUnorderedGroup_0_2())}?
[ERROR] Line 35: rule ruleActionC failed predicate: {getUnorderedGroupHelper().canLeave(grammarAccess.getActionCAccess().getUnorderedGroup_0_2())}?
[ERROR] Line 45: rule ruleActionC failed predicate: {getUnorderedGroupHelper().canLeave(grammarAccess.getActionCAccess().getUnorderedGroup_0_2())}?
[ERROR] Line 45: rule ruleActionC failed predicate: {getUnorderedGroupHelper().canLeave(grammarAccess.getActionCAccess().getUnorderedGroup_0_2())}?
[ERROR] Line 45: rule ruleActionC failed predicate: {getUnorderedGroupHelper().canLeave(grammarAccess.getActionCAccess().getUnorderedGroup_0_2())}?
[ERROR] Line 45: rule ruleActionC failed predicate: {getUnorderedGroupHelper().canLeave(grammarAccess.getActionCAccess().getUnorderedGroup_0_2())}?
[ERROR] Line 9: The same agent cannot be used in more than one sequence..
[ERROR] Line 22: The same agent cannot be used in more than one sequence..
[ERROR] Line 23: Agent name must be one of the names specified in the pattern.
[ERROR] Line 23: Agent name must be one of the names specified in the pattern.
[ERROR] Line 28: Agent name must be one of the names specified in the pattern.
[ERROR] Line 28: Agent name must be one of the names specified in the pattern.
[ERROR] Line 32: Agent name must be one of the names specified in the pattern.
[ERROR] Line 32: Agent name must be one of the names specified in the pattern.
[ERROR] Line 35: Resource name must be one of the names specified in the pattern.
[ERROR] Line 35: Resource name must be one of the names specified in the pattern.
[ERROR] Line 35: Resource name must be one of the names specified in the pattern.
[ERROR] Line 35: Resource name must be one of the names specified in the pattern.
[ERROR] Line 35: Resource name must be one of the names specified in the pattern.
[ERROR] Line 35: Resource name must be one of the names specified in the pattern.
[ERROR] Line 35: Resource name must be one of the names specified in the pattern.
[ERROR] Line 35: Resource name must be one of the names specified in the pattern.
[ERROR] Line 35: Resource name must be one of the names specified in the pattern.
[ERROR] Line 35: Agent name must be one of the names specified in the pattern.
[ERROR] Line 35: Agent name must be one of the names specified in the pattern.
[ERROR] Line 37: Agent name must be one of the names specified in the pattern.
[ERROR] Line 37: Agent name must be one of the names specified in the pattern.
[ERROR] Line 41: Agent name must be one of the names specified in the pattern.
[ERROR] Line 41: Agent name must be one of the names specified in the pattern.
[ERROR] Line 45: Resource name must be one of the names specified in the pattern.
[ERROR] Line 45: Resource name must be one of the names specified in the pattern.
[ERROR] Line 45: Resource name must be one of the names specified in the pattern.
[ERROR] Line 45: Resource name must be one of the names specified in the pattern.
[ERROR] Line 45: Agent name must be one of the names specified in the pattern.
[ERROR] Line 45: Agent name must be one of the names specified in the pattern.
[ERROR] Line 47: Agent name must be one of the names specified in the pattern.
[ERROR] Line 47: Agent name must be one of the names specified in the pattern.
