Validating: /Users/dimitricopley/Desktop/Challenge/RESEARCH_PROJECT/Results/Scenario_016/SP5/RUN_20260227_191346/dsl/ITER1_20260227_191406.LIRAs
FAILURE: Validation errors found.

[ERROR] Line 11: rule ruleActionC failed predicate: {getUnorderedGroupHelper().canLeave(grammarAccess.getActionCAccess().getUnorderedGroup_0_2())}?
[ERROR] Line 12: required (...)+ loop did not match anything at input 'collectAndConfirm'
[ERROR] Line 12: mismatched input '(' expecting ':'
[ERROR] Line 12: mismatched input ')' expecting ':'
[ERROR] Line 16: required (...)+ loop did not match anything at input 'patrol'
[ERROR] Line 16: mismatched input '(' expecting ':'
[ERROR] Line 16: mismatched input '(' expecting ':'
[ERROR] Line 16: mismatched input ')' expecting ':'
[ERROR] Line 17: mismatched input '(' expecting ':'
[ERROR] Line 18: mismatched input '(' expecting ':'
[ERROR] Line 19: mismatched input '(' expecting ':'
[ERROR] Line 20: mismatched input '(' expecting ':'
[ERROR] Line 8: The same agent cannot be used in more than one sequence..
[ERROR] Line 11: Resource name must be one of the names specified in the pattern.
[ERROR] Line 12: Agent name must be one of the names specified in the pattern.
[ERROR] Line 12: Agent name must be one of the names specified in the pattern.
[ERROR] Line 12: Agent name must be one of the names specified in the pattern.
[ERROR] Line 12: Agent name must be one of the names specified in the pattern.
[ERROR] Line 14: Agent name must be one of the names specified in the pattern.
[ERROR] Line 14: Agent name must be one of the names specified in the pattern.
[ERROR] Line 16: Agent name must be one of the names specified in the pattern.
[ERROR] Line 16: Agent name must be one of the names specified in the pattern.
[ERROR] Line 16: Agent name must be one of the names specified in the pattern.
[ERROR] Line 16: Agent name must be one of the names specified in the pattern.
[ERROR] Line 16: The same agent cannot be used in more than one sequence..
[ERROR] Line 17: Agent name must be one of the names specified in the pattern.
[ERROR] Line 17: Agent name must be one of the names specified in the pattern.
[ERROR] Line 18: Agent name must be one of the names specified in the pattern.
[ERROR] Line 18: Agent name must be one of the names specified in the pattern.
[ERROR] Line 19: Agent name must be one of the names specified in the pattern.
[ERROR] Line 19: Agent name must be one of the names specified in the pattern.
[ERROR] Line 20: Agent name must be one of the names specified in the pattern.
[ERROR] Line 20: Agent name must be one of the names specified in the pattern.
