system_prompt,scenario,runs,successes,success_rate,mean_final_error_score,mean_initial_error_score
SP1.txt,Scenario_011.txt,24,10,0.417,529.958,768.0
SP1.txt,Scenario_016.txt,24,9,0.375,204.25,516.667
SP1.txt,Scenario_029.txt,24,12,0.5,449.917,1440.0
SP1.txt,Scenario_06.txt,24,9,0.375,373.375,1427.333
SP2.txt,Scenario_011.txt,24,8,0.333,670.583,1371.333
SP2.txt,Scenario_016.txt,24,12,0.5,376.625,903.333
SP2.txt,Scenario_029.txt,24,11,0.458,159.167,354.0
SP2.txt,Scenario_06.txt,24,13,0.542,149.917,420.667
SP3.txt,Scenario_011.txt,24,14,0.583,550.833,2703.333
SP3.txt,Scenario_016.txt,24,19,0.792,72.25,993.333
SP3.txt,Scenario_029.txt,24,13,0.542,508.958,1516.667
SP3.txt,Scenario_06.txt,24,14,0.583,190.292,624.333
SP4.txt,Scenario_011.txt,24,16,0.667,402.833,1046.667
SP4.txt,Scenario_016.txt,24,14,0.583,138.542,370.0
SP4.txt,Scenario_029.txt,24,14,0.583,361.583,1096.667
SP4.txt,Scenario_06.txt,24,13,0.542,102.25,244.333
SP5.txt,Scenario_011.txt,24,12,0.5,371.292,680.0
SP5.txt,Scenario_016.txt,24,8,0.333,574.458,1070.0
SP5.txt,Scenario_029.txt,24,10,0.417,299.375,811.0
SP5.txt,Scenario_06.txt,24,8,0.333,183.625,152.0
