system_prompt,scenario,failed_runs,mean_final_error_score,mean_initial_error_score,dominant_error_mode,dominant_error_pct
SP1.txt,Scenario_011.txt,14,908.5,821.4,semantic_agent,100.0
SP1.txt,Scenario_016.txt,15,326.8,520.7,semantic_agent,93.3
SP1.txt,Scenario_029.txt,12,899.8,1440.0,semantic_agent,100.0
SP1.txt,Scenario_06.txt,15,597.4,1568.0,semantic_agent,93.3
SP2.txt,Scenario_011.txt,16,1005.9,1411.9,semantic_agent,93.8
SP2.txt,Scenario_016.txt,12,753.2,800.0,semantic_agent,100.0
SP2.txt,Scenario_029.txt,13,293.8,297.1,semantic_agent,92.3
SP2.txt,Scenario_06.txt,11,327.1,519.3,semantic_agent,72.7
SP3.txt,Scenario_011.txt,10,1322.0,2633.0,semantic_agent,100.0
SP3.txt,Scenario_016.txt,5,346.8,1514.0,semantic_agent,100.0
SP3.txt,Scenario_029.txt,11,1110.5,1628.2,semantic_agent,100.0
SP3.txt,Scenario_06.txt,10,456.7,538.5,semantic_agent,80.0
SP4.txt,Scenario_011.txt,8,1208.5,1425.0,semantic_agent,100.0
SP4.txt,Scenario_016.txt,10,332.5,365.0,semantic_agent,90.0
SP4.txt,Scenario_029.txt,10,867.8,1459.0,semantic_agent,90.0
SP4.txt,Scenario_06.txt,11,223.1,193.5,semantic_agent,90.9
SP5.txt,Scenario_011.txt,12,742.6,688.3,semantic_agent,100.0
SP5.txt,Scenario_016.txt,16,861.7,1029.4,semantic_agent,87.5
SP5.txt,Scenario_029.txt,14,513.2,708.4,semantic_agent,92.9
SP5.txt,Scenario_06.txt,16,275.4,161.2,semantic_agent,93.8
